DEPARTAMENTO,MUNICIPIO(S),DESTINO,NOMBRE,IMPACTO,APORTES NACIÓN,CONTRAPARTIDA,RADICACION SALIDA,ESTADO FÍSICO ACTUAL,AVANCE FÍSICO ACTUAL
GUAINIA,GUAINIA,Acueducto/Urbana,"CONSTRUCCIÓN DE LOS SISTEMAS DE ACUEDUCTO PARA LAS COMUNIDADES INDÍGENAS DE LA CUENCA DEL RIO GUAINÍA (TONINA, NIÑAL, PUERTO COLOMBIA, ARAHUATO, FRITO, CATACUNAME, SAN JOSÉ Y TABAQUEN)",Población Beneficiada : 907 Nuevas Conexiones : 907 Cobertura : Continuidad : Empleos Generados : 558,2720000000.00,0.00,Sin Información,Liquidado,100
MAGDALENA,MAGDALENA,Acueducto/Urbana,"ELABORAR LOS ESTUDIOS Y DISEÑOS PARA EL PLAN MAESTRO DE SANEAMIENTO (ACUEDUCTO Y ALCANTARILLADO), PARA CENTROS POBLADOS DE LA ZONA RURAL DEL DEPARTAMENTO DEL MAGDALENA",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 1558,0.00,7599988240.00,Sin Información,Liquidado Contrato Obra,100
MAGDALENA,MAGDALENA,Acueducto/Urbana,"ELABORAR LOS ESTUDIOS Y DISEÑOS PARA EL PLAN MAESTRO DE SANEAMIENTO (ACUEDUCTO Y ALCANTARILLADO), PARA CENTROS POBLADOS DE LA ZONA RURAL DEL DEPARTAMENTO DEL MAGDALENA",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 1558,0.00,7599988240.00,Sin Información,Liquidado Contrato Obra,100
META,META,Acueducto/Urbana,FORMULACION DE LOS PLANES MAESTRIOS DE ACUEDUCTO Y ALCALNTARILLADO A NIVEL DE DETALLES DE INGENIERIA DE LOS MUNICIPIOS DE META,Empleos Generados : 2232,0.00,10885943000.00,Sin Información,En Liquidación,100
META,META,"Acueducto/Urbana, Alcantarillado/Urbana, Aseo/Urba","INTERVENTORIA TECNICA, ADMINISTRATIVA Y FINANCIERA DE LAS INVERSIONES DEL PDA EN EL 2009",Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 377,0.00,1841000000.00,Sin Información,Liquidado,100
RISARALDA,RISARALDA,Acueducto/Urbana,"ESTUDIOS Y DISEÑOS PARA PROYECTOS DE ACUEDUCTO, SANEAMIENTO BASICO Y PREVENCION Y ATENCION DE EMERGENCIAS EN EL MARCO DE LOS PLANES DEPARTAMENTALES A NIVEL NACIONAL",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 97,475588889.00,0.00,Sin Información,Liquidado,100
RISARALDA,RISARALDA,Acueducto/Urbana,ELABORACION DE ESTUDIOS Y DISEÑOS PARA REHABILITACION DE LOS SISTEMAS DE ACUEDUCTOS Y ALCANTARILLADOS.,Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 48,233995668.00,0.00,Sin Información,Liquidado,100
SUCRE,SUCRE,Acueducto/Urbana,"ESTUDIOS Y DISEÑOS PARA PROYECTOS DE ACUEDUCTO, SANEAMIENTO BASICO Y PREVENCION Y ATENCION DE EMERGENCIAS EN EL MARCO DE LOS PLANES DEPARTAMENTALES A NIVEL NACIONAL",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 171,831789342.00,0.00,Sin Información,Liquidado,100
SUCRE,SUCRE,Acueducto/Urbana,"SUMINISTRO DE MEDIDORES DE 1/2"" PARA LAS CIUDADES DE SINCELEJO Y COROZAL",Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 1208,5895000000.00,0.00,Sin Información,Liquidado,100
ANTIOQUIA,Abejorral(ANT),Acueducto/Urbana,CONSTRUCCION DE LINEA DE CONDUCCION DESDE LA BOCATOMA QUEBRADA SAN ANTONIO HASTA LA PLANTA DE TRATAMIENTO DEL ACUEDUCTO URBANO MUNICIPIO DE ABEJORRAL,"Población Beneficiada : 6984 Nuevas Conexiones : 318 Cobertura : 0,95 Continuidad : Empleos Generados : 69",150000000.00,188279172.00,Sin Información,Liquidado,100
ANTIOQUIA,Abejorral(ANT),Alcantarillado/Urbana,"CONSTRUCCIÓN DEL PLAN MAESTRO DE ALCANTARILLADO MUNICIPIO DE ABEJORRAL, PRIMERA ETAPA","CON LA EJECUCIóN DEL PROYECTO SE ELIMINAN 10 VERTIDOS PUNTUALES EXISTENTES SOBRE LA QUEBRADA DENOMINADA EL GUS, BENEFICIANDO DE MANERA DIRECTA LA SALUD PúBLICA DE 7015 HABITANTES ACTUALES Y APROXIMADAMENTE 8375 FUTUROS. SE ELIMINA RIESGO A LA SALUD PúBLICA DE LA CABECERA MUNICIPAL.",0.00,2097977296.00,2017EE0003539,Liquidado,100
N DE SANTANDER,Abrego(N D),Acueducto/Urbana,OPTIMIZACION DEL NUEVO ACUEDUCTO MUNICIPAL Y TERMINACION DE LA PLANTA DE TRATAMIENTO DEL MUNICIPIO,Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 54,265000000.00,0.00,Sin Información,Liquidado,100
N DE SANTANDER,Abrego(N D),Acueducto/Urbana,PLANTA DE TRATAMIENTO ACUEDUCTO DEL MUNICIPIO DE ABREGO,Población Beneficiada : 11424 Nuevas Conexiones : NA Cobertura : Continuidad : Empleos Generados : 233,788102329.00,347371977.00,Sin Información,Liquidado,100
N DE SANTANDER,Abrego(N D),Acueducto/Urbana,RESTAURACION DEL SISTEMA DE CAPTACION MUNICIPIO DE ABREGO. *,"CON EL PROYECTO SE BUSCA PREVENIR EL POSIBLE COLAPSO DE LA ESTRUCTURA DE CAPTACIÓN DEBIDO AL DETERIORO CAUSADO POR LA FUERA DEL CAUDAL, QUE ESTA SOCAVANDO LOS CIMIENTOS Y MITIGAR LAS AFECTACIONES EXISTENTES EN LA PRESA Y LA PLACA DE AMORTIGUACIÓN Población Beneficiada : 19307 Nuevas Conexiones : NA Cobertura : ND Continuidad : ND Empleos Generados : 80",390767608.00,0.00,5100-E2-105638,Liquidado,100
N DE SANTANDER,Abrego(N D),Alcantarillado/Urbana,REHABILITACION DEL ALCANTARILLADO SANITARIO PARA LA PIÑUEL Y AVIPAMA,Población Beneficiada : 820 Nuevas Conexiones : NA Cobertura : Continuidad : Empleos Generados : 46,199897671.00,22210853.00,Sin Información,Liquidado,100
N DE SANTANDER,Abrego(N D),Aseo/Urbana,ADQUISICION VEHICULO COMPACTADOR PARA EL MUNICIPIO DE ABREGO,DISPONIBILIDAD PARA GENERAR UNA COBERTURA DE RECOLECCIÓN Y TRANSPORTE EN UN 100% DEL CASCO URBANO DEL MUNICIPIO DE ABREGO.,152805600.00,160000000.00,7323-E2-106542,Liquidado,100
META,Acacias(MET),Acueducto/Urbana,AMPLIACION Y OPTIMIZACION DEL SISTEMA DE ACUEDUCTO URBANO MUNICIPIO DE ACACIAS (REFORMULACION),EL PROYECTO ESTÁ TÉCNICAMENTE BIEN FORMULADO DE ACUERDO AL DISEÑO Y A LAS ALTERNATIVAS PARA LAS REDES DEL MUNICIPIO DE ACACIAS SEGÚN LO DESCRITO EN EL DISEÑO PRESENTADO POR EDESA.,0.00,5362907637.00,5100-E2-127434,Liquidado,100
META,Acacias(MET),Alcantarillado/Urbana,CONSTRUCCION COLECTOR SUR PARA EL MUNICIPIO DE ACACIAS,Población Beneficiada : 44849 Nuevas Conexiones : 0 Cobertura : NA Continuidad : NA Empleos Generados : 974,4752777415.00,0.00,Sin Información,Liquidado,100
META,Acacias(MET),Alcantarillado/Urbana,CONSTRUCCION COLECTOR SUR PARA EL MUNICIPIO DE ACACIAS,Población Beneficiada : 44849 Nuevas Conexiones : 0 Cobertura : NA Continuidad : NA Empleos Generados : 974,4752777415.00,0.00,Sin Información,Liquidado,100
META,"Acacias(MET), Guamal(MET), San Carlos Guaroa(MET)",Acueducto/Urbana,"ESTUDIOS Y DISEÑOS DE LOS PMAA EN LAS AREAS URBANAS EN LOS MUNICIPIOS DE ACACIAS, GUAMAL Y SAN CARLOS DE GUAROA, META",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 558,0.00,2722044400.00,Sin Información,En Liquidación,100
CHOCO,Acandi(CHO),Acueducto/Urbana,RECUPERACION DEL SISTEMA DE ACUEDUCTO DE CHUGANDI EN EL MUNICIPIO DE ACANDI *,SE LOGRO RECURSOS EL SISTEMA DE ACUEDUCTO AFECTADO POR OLA INVERNAL Y SE ENCUENTRAN EN SERVICIO BENEFICIANDO A LOS HABITANTES DE LA LOCALIDAD Población Beneficiada : 420 Nuevas Conexiones : Cobertura : 1 Continuidad : 12 Empleos Generados : 50,244448239.00,0.00,5100-E2-98466,Liquidado,100
CHOCO,Acandi(CHO),Alcantarillado/Urbana,RECUPERACION DEL SISTEMA DE ALCANTARILLADO NO CONVENCIONAL DE CHUGANDI EN EL MUNICIPIO DE ACANDI *,SE LOGRO RECURSOS EL SISTEMA DE ALCANTARILLADO AFECTADO POR OLA INVERNAL Y SE ENCUENTRAN EN SERVICIO BENEFICIANDO A LOS HABITANTES DE LA LOCALIDAD Población Beneficiada : 420 Nuevas Conexiones : Cobertura : 1 Continuidad : - Empleos Generados : 0,244800144.00,0.00,5100-E2-98485,Liquidado,100
HUILA,Acevedo(HUI),Acueducto/Urbana,CONSTRUCCION PLAN MAESTRO DE ACUEDUCTO DEL MUNICIPIO DE ACEVEDO,Con la ejecución del presente proyecto se garantizara mejorar la Cobertura de acueducto en redes de 94% al 100% en la cabecera municipal y Mejorar el sistema de tratamiento de agua potable y la adecuada disposición de los lodos para una población actual de 6533 habitantes.,0.00,3928304657.00,2017EE0100409,Liquidado,100
HUILA,Acevedo(HUI),Acueducto/Urbana,CONSTRUCCION PLAN MAESTRO DE ACUEDUCTO DEL MUNICIPIO DE ACEVEDO,Con la ejecución del presente proyecto se garantizara mejorar la Cobertura de acueducto en redes de 94% al 100% en la cabecera municipal y Mejorar el sistema de tratamiento de agua potable y la adecuada disposición de los lodos para una población actual de 6533 habitantes.,0.00,3928304657.00,2017EE0100409,Liquidado,100
HUILA,Acevedo(HUI),Acueducto/Urbana,CONSTRUCCION DE ACUEDUCTO REGIONAL VEREDA PLAYITAS MUNICIPIO DE ACEVEDO,Población Beneficiada : 217 Nuevas Conexiones : 217 Cobertura : Continuidad : Empleos Generados : 31,119113000.00,29796276.00,Sin Información,Liquidado,100
HUILA,"Acevedo(HUI), Elias(HUI), Isnos(HUI), Oporapa(HUI), Palestina(HUI), Pitalito(HUI), Saladoblanco(HUI), San Agustin(HUI), Timana(HUI)",Acueducto/Urbana,PLAN MAESTRO DE ACUEDUCTO Y ALCANTARILLADO DE LOS MUNICIPIOS DE LA ZONA SUR (SUBREGION 5),Población Beneficiada : 23412 Nuevas Conexiones : 0 Cobertura : 1 Continuidad : 24 horas Empleos Generados : 526,0.00,2566222760.00,Sin Información,Liquidado,100
BOLIVAR,Achí(BOL),Acueducto/Rural,REHABILITACION Y RECONSTRUCCION DEL SISTEMA DE ACUEDUCTO DEL CORREGIMIENTO DE PLAYA ALTA MUNICIPIO DE ACHI.,Con el proyecto se atiende la afectación en el sistema de acueducto del corregimiento Playa Alta del municipio de Achi que se evidenció durante el fenomeno de la niña 2010-2011 y se optimiza el servicio a la comunidad tanto en calidad como en mayor du Población Beneficiada : 2363 Nuevas Conexiones : 0 Cobertura : ND Continuidad : 24H Empleos Generados : 44,216030472.00,0.00,7320-E2-10509,Liquidado,100
BOLIVAR,Achí(BOL),Acueducto/Rural,REHABILITACION Y RECONSTRUCCION DEL SISTEMA DE ACUEDUCTO DEL CORREGIMIENTO DE TACUYALTA MUNICIPIO DE ACHI. *,"Con el proyecto se atiende la afectación en el sistema de acueducto del corregimiento de La Tacuyalta del municipio de Achi que se evidenció durante el fenomeno de la niña 2010-2011, Población Beneficiada : 393 Nuevas Conexiones : 0 Cobertura : ND Continuidad : 24H Empleos Generados : 50",243803328.00,0.00,7320-E2-19886,Liquidado,100
BOLIVAR,Achí(BOL),Acueducto/Rural,REHABILITACION Y RECONSTRUCCION DEL SISTEMA DE ACUEDUCTO DEL CORREGIMIENTO DE TRES CRUCES MUNICIPIO DE ACHI. *,"Con el proyecto se atiende la afectación en el sistema de acueducto del corregimiento de Las tres cruces del municipio de Achi que se evidenció durante el fenomeno de la niña 2010-2011, Población Beneficiada : 395 Nuevas Conexiones : 0 Cobertura : ND Continuidad : 24H Empleos Generados : 50",244877378.00,0.00,7320-E2-19895,Liquidado,100
BOLIVAR,Achí(BOL),Acueducto/Rural,REHABILITACION Y RECONSTRUCCION DEL SISTEMA DE ACUEDUCTO DEL CORREGIMIENTO DE GUACAMAYO MUNICIPIO DE ACHI. *,"Con el proyecto se atiende la afectación en el sistema de acueducto del corregimiento de Guacamayo del municipio de Achi que se evidenció durante el fenomeno de la niña 2010-2011, Población Beneficiada : 395 Nuevas Conexiones : 0 Cobertura : ND Continuidad : 24H Empleos Generados : 50",244988292.00,0.00,7320-E2-19939,Liquidado,100
BOLIVAR,Achí(BOL),Acueducto/Urbana,"CONSTRUCCION, AMPLIACION, OPTIMIZACION Y/O REHBAILITACION DEL SISTEMA DE ACUEDUCTO DE LA CABECERA MUNICIPAL DE ACHI","CON LA CONSTRUCCIÓN, AMPLIACIÓN, OPTIMIZACIÓN Y/Ó REHABILITACIÓN DEL SISTEMA DE ACUEDUCTO CABECERA MUNICIPAL DEL MUNICIPIO DE ACHÍ SE LOGRARÁ CONTAR CON: • CAPACIDAD INSTALADA PARA MEJORAR LA CANTIDAD Y CONTINUIDAD DEL SERVICIO DE ACUEDUCTO, AMPLIACIÓN DE COBERTURA DEL 70% AL 100%, REDUCCIÓN DEL IANC, CALIDAD DE AGUA TRATADA REPRESENTADA EN REDUCCIÓN DEL IRCA DEL 20% AL 5%, CONTINUIDAD DEL SERVICIOS DE 12 A 24 HORAS.",2196550525.00,0.00,7323-E2-68441,Liquidado,100
BOLIVAR,"Achí(BOL), Arenal(BOL), Arjona(BOL), Arroyohondo(BOL), Barranco De Loba(BOL), Calamar(BOL), Clemencia(BOL), Córdoba(BOL), El Guamo(BOL), El Peñón(BOL), Magangué(BOL), Mahates(BOL), María La Baja(BOL), Montecristo(BOL), Norosí(BOL), Pinillos(BOL), Regidor(BOL), Rio Viejo(BOL), San Cristobal(BOL), San Estanislao(BOL), San Jacinto(BOL), San Jacinto Del Cauca(BOL), San Juan Nepomuceno(BOL), San Pablo(BOL), Santa Catalina(BOL), Santa Rosa Del Sur(BOL), Simití(BOL), Soplaviento(BOL), Tiquisio(BOL), Tu",Aseo/Rural,ESTUDIOS Y DISEÑOS PARA LA ESTRUCTURACIÓN DEL ESQUEMA REGIONAL PARA LA PRESTACIÓN DEL SERVICIO PÚBLICO DE ASEO EN EL DEPARTAMENTO,Sin Información,1935755510.00,0.00,Sin Información,Liquidado,100
HUILA,Agrado(HUI),Acueducto/Urbana,CONSTRUCCION PLANTA DE TRATAMIENTO AGUAS RESIDUALES AGRADO - HUILA,Sin Información,548821000.00,0.00,Sin Información,Liquidado,100
HUILA,Agrado(HUI),"Acueducto/Urbana, Alcantarillado/Urbana",PLAN MAESTRO DE ACUEDUCTO Y ALCANTARILLADO MUNICIPIO DE AGRADO FASE 2,AUMENTO DE LA CAPACIDAD DE REGULACION Y CONTINUIDAD DEL SISTEMA DE ACUEDUCTO; AUMENTO DE LA CAPACIDAD DE EVACUACION DEL SISTEMA DE RECOLECCION DE AGUA RESIDUAL.,0.00,1785193003.00,7323-E2-101177,Liquidado,100
HUILA,Agrado(HUI),"Acueducto/Urbana, Alcantarillado/Urbana",PLAN MAESTRO DE ACUEDUCTO DEL MUNICIPIO DE AGRADO FASE I.,CON ESTE PROYECTO SE LOGRARÁ ENTREGAR A LOS USUARIOS DEL SERVICIO AGUA TRATADA CON UNA CONTINUIDAD DE 24 HORAS.,0.00,1132430085.00,7323-E2-68376,Liquidado,100
HUILA,"Agrado(HUI), Altamira(HUI), Garzon(HUI), Gigante(HUI), Guadalupe(HUI), Pital(HUI), Suaza(HUI), Tarqui(HUI)",Acueducto/Urbana,PLAN MAESTRO DE ACUEDUCTO Y ALCANTARILLADO DE LOS MUNICIPIOS DE LA ZONA CENTRO (SUBREGION 3),Población Beneficiada : 19507 Nuevas Conexiones : 0 Cobertura : 1 Continuidad : 24 Empleos Generados : 434,0.00,2115062336.00,Sin Información,Liquidado,91
HUILA,"Agrado(HUI), Pital(HUI)",Acueducto/Urbana,"REHABILITACION DE LA CONDUCCION EN LA TUBERIA DE 10"" QUE SUMINISTRA EL AGUA POTABLE PARA LOS MUNICIPIOS DEL AGRADO Y EL PITAL","ADECUACIÓN DE 282 ML DE TUBERIA DE PVC 10"" GARANTIZANDO ASI LA CONTINUIDAD DEL SERVICIO. Población Beneficiada : 7900 Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados :",96467879.00,0.00,7323-E2-24724,Liquidado,100
CUNDINAMARCA,Agua De Dios(CUN),Acueducto/Urbana,OPTIMIZACION REDES DE ACUEDUCTO URBANO MUNICIPIO DE AGUA DE DIOS. FASE I *,"OPTIMIZAR LOS TRAMOS DE REDES PARA MEJORAR LAS CONDICIONES HIDRAULICAS DE LAS REDES EXISTENTES. SI BIEN SE IDENTIFICÓ LA NECESIDAD DE OPTIMIZAR MAYOR CANTIDAD DE REDES, SE REALIZARÀ INTERVENCION A LOS TRAMOS QUE TIENEN PRIORIDAD Y QUE ADICIONALMENTE, CUMPLEN CON EL PRESUPUESTO DEL PLAN DE CHOQUE DEL MUNICIPIO, EL CUAL ES DE 2.000.000.000 (DOS MIL MILLONES DE PESOS).",0.00,1996603683.00,7320-E2-70583,Liquidado,100
CUNDINAMARCA,Agua De Dios(CUN),Acueducto/Urbana,OPTIMIZACIÓN Y CONSTRUCCIÓN DEL SISTEMA DE ACUEDUCTO URBANO DEL MUNICIPIO DE AGUA DE DIOS - FASE III,"Con la optimización y construcción del sistema de acueducto urbano del municipio de Agua de Dios - Fase III, se logrará beneficiar directamente al 39% de los habitantes del casco urbano que corresponde a 1714 suscriptores de acueducto e indirectamente se beneficiará al 100% de la población al disminuir las suspensiones por reparaciones o sectorización mejorando la continuidad calidad del servicio y con ello reducir el porcentaje de IANC.",4485472942.00,0.00,Sin Información,En Liquidación,100
CUNDINAMARCA,Agua De Dios(CUN),"Acueducto/Urbana, Alcantarillado/Urbana",CONSTRUCCION REDES DE ACUEDUCTO Y ALCANTARILLADO VIA CIRCUNVALAR SECTOR LOS TRONQUINTOS-ESTACION DEL SERVICIO DEL MUNICIPIO DE AGUA DE DIOS,Cobertura Actual Alcantarillado 78% pasa al 100% Población Beneficiada Actual 15.029 Población Beneficiada Proyectada 22.349 Población Beneficiada : 22349 Nuevas Conexiones : Cobertura : ALC 78% A 100% Continuidad : Empleos Generados :,0.00,1351068712.00,7323-E2-94089,Liquidado Contrato Obra,100
CUNDINAMARCA,Agua De Dios(CUN),"Alcantarillado/Urbana, Aseo/Urbana",INVERSIONES QUE PERMITAN LA REHABILITACION DE LA INFRAESTRUCTURA AFECTADA PARA ATENDER EL DESABASTECIMIENTO DE AGUA PARA CONSUMO O LA INTERRUPCION DE LOS SERVICIOS DE ALCANTARILLADO Y ASEO,PERMITIR LA ATENCIóN INMEDIATA EN LOS MUNICIPIOS QUE PRESENTEN DESABASTECIMIENTO DE AGUA POTABLE O AFECTACIóN EN LOS SISTEMAS DE ALCANTARILLADO O ASEO,0.00,1684800000.00,2016EE0009566,Liquidado,100
CESAR,Aguachica(CES),Acueducto/Urbana,OPTIMIZACION SISTEMA DE ACUEDUCTO CABECERA MUNICIPAL DE AGUACHICA,Población Beneficiada : 50148 Nuevas Conexiones : 11235 Cobertura : Continuidad : Empleos Generados : 2051,4200000000.00,5803517638.00,Sin Información,Liquidado,100
CESAR,Aguachica(CES),Acueducto/Urbana,ESTUDIOS PARA LA ACTUALIZACION DEL PLAN MAESTRO DE ACUEDUCTO Y EL CATASTRO DE REDES Y DISEÑOS DE DETALLE PARA LA OPTIMIZACION DEL ACUEDUCTO DE LA CABECERA MUNICIPAL DE AGUACHICA,"Con la ejecución del proyecto de Preinversión, se logrará obtener capital intelectual para la toma de decisiones cruciales para el mejoramiento de la prestación del servicio de acueducto de la cabecera municipal de Aguachica, Cesar. Así mismo, se espera consolidar toda la información existente en estudios anteriores o en curso, para tener elementos de juicio y con la experiencia en proyectos anteriormente ejecutados en este Municipio buscar las mejores alternativas para ejecutar obras de inversión que mejoren los indicadores que actualmente son: Cobertura 83,2%, micromedición instalada 45%, micromedición efectiva 13%, continuidad del servicio 23,8%.",740219948.00,0.00,2015EE0054897,Liquidado,100
CESAR,Aguachica(CES),Alcantarillado/Urbana,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SECTOR JERUSALEN Y PUERTO MOSQUITO,Población Beneficiada : Nuevas Conexiones : ND Cobertura : ND Continuidad : ND Empleos Generados : 552,0.00,2694114542.00,Sin Información,Liquidado,100
CESAR,Aguachica(CES),Alcantarillado/Urbana,"OBRAS CIVILES DEL SISTEMA DE ALCANTARILLADO SANITARIO, REDES Y COLECTORES PRIMERA ETAPA SECTOR PUERTO MOSQUITO.",Población Beneficiada : Nuevas Conexiones : ND Cobertura : ND Continuidad : ND Empleos Generados : 681,0.00,3322556283.00,Sin Información,Liquidado,100
CESAR,Aguachica(CES),Alcantarillado/Urbana,"OBRAS CIVILES DEL SISTEMA DE ALCANTARILLADO SANITARIO, REDES Y COLECTORES PRIMERA ETAPA SECTOR JERUSALEN Y PUERTO MOSQUITO.",Población Beneficiada : Nuevas Conexiones : ND Cobertura : ND Continuidad : ND Empleos Generados : 682,0.00,3324585589.00,Sin Información,Liquidado,100
SANTANDER,Aguada(SAN),Acueducto/Urbana,AMPLIACION Y OPTIMIZACION SISTEMA DE ACUEDUCTO EL MANANTIAL MUNICIPIO DE AGUADA (REFORMULACION),MEJORAMIENTO EN LA CONTINUIDAD DEL SERVICIO BENEFICIANDO A MAS DE 5000 HABITANTES Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 486,2349301046.00,21170135.00,5100-E2-15314,Liquidado,100
